arm,model,exam,battery,runs,valid,scored,dnf,denominator,mean_total,mean_pct,min,max
cold,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,26.90,89.7,26,29
cold,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,14.70,73.5,13,17
cursor,claude-haiku-4-5,MultiTurnExam,memos,10,10,10,0,30,28.90,96.3,27,30
cursor,claude-haiku-4-5,MultiTurnExam,memos-hard,10,10,10,0,20,16.10,80.5,14,18
cursor,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,28.90,96.3,28,30
cursor,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,15.70,78.5,13,18
cursor,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
cursor,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.80,94.0,18,20
cursor,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.90,99.7,29,30
cursor,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,19.00,95.0,18,20
cursor,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
cursor,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,17.90,89.5,16,19
cursor,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,30.00,100.0,30,30
cursor,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,17.50,87.5,16,19
cursor,composer-2.5,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
cursor,composer-2.5,MultiTurnExam,memos-hard,10,10,10,0,20,17.70,88.5,17,19
cursor,composer-2.5,ZeroShotExam,memos,10,10,10,0,30,29.60,98.7,29,30
cursor,composer-2.5,ZeroShotExam,memos-hard,10,10,10,0,20,16.70,83.5,14,18
cursor,gpt-5.6-luna,MultiTurnExam,memos,10,10,10,0,30,28.60,95.3,27,30
cursor,gpt-5.6-luna,MultiTurnExam,memos-hard,10,10,10,0,20,14.00,70.0,12,16
